File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_9_200,6919,9,200,6 states,8 symbols,1919,9,0,827,82.3827,7,6,6384,104843,SAT,2.1012,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,0.0,,7,6,6384,104843,SAT,2.0471,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_3_12,5795,3,12,6 states,8 symbols,71,2,4,33,0.0141,5,4,470,4144,SAT,0.1119,48,48,41,45,3,7,0.93,0.85,0.94,0.9,0.9,0.9,0.46875,33.33,0.0,,5,4,470,4144,SAT,0.2007,48,48,44,40,8,4,0.85,0.92,0.83,0.90,0.90,0.90,0.46875
coffeemachine_3_200,1671,3,200,6 states,8 symbols,1960,10,0,641,200.7111,7,6,5082,82621,SAT,0.8055,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,5082,82621,SAT,1.6199,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9583333333333334
coffeemachine_1_100,8822,1,100,6 states,8 symbols,977,7,1,224,34.6815,6,5,1782,23338,SAT,0.296,400,400,326,398,2,74,0.99,0.81,0.99,0.9,0.9,0.9,0.7791666666666667,87.5,0.0,,6,5,1782,23338,SAT,0.4963,400,400,349,398,2,51,0.99,0.87,0.99,0.90,0.90,0.90,0.7791666666666667
coffeemachine_9_1,2925,9,1,6 states,8 symbols,58,3,3,26,0.0111,5,4,435,3717,SAT,0.1512,44,44,37,35,9,7,0.8,0.84,0.8,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1020,44,44,39,37,7,5,0.85,0.89,0.84,0.90,0.90,0.90,0.41666666666666663
coffeemachine_8_0,5553,8,0,6 states,8 symbols,58,3,3,26,0.0109,5,4,435,3717,SAT,0.0739,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1081,44,44,37,34,10,7,0.79,0.84,0.77,0.80,0.80,0.80,0.41666666666666663
coffeemachine_9_0,2925,9,0,6 states,8 symbols,58,3,3,26,0.011,5,4,435,3717,SAT,0.0771,44,44,37,35,9,7,0.8,0.84,0.8,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1032,44,44,39,37,7,5,0.85,0.89,0.84,0.90,0.90,0.90,0.41666666666666663
coffeemachine_0_3,3681,0,3,6 states,8 symbols,58,3,3,26,0.0114,5,4,435,3717,SAT,0.0759,44,44,37,38,6,7,0.86,0.84,0.86,0.9,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1110,44,44,42,38,6,2,0.88,0.95,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_5_3,6578,5,3,6 states,8 symbols,58,3,3,26,0.0113,5,4,435,3717,SAT,0.0734,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1136,44,44,36,40,4,8,0.90,0.82,0.91,0.90,0.90,0.90,0.41666666666666663
coffeemachine_1_12,8014,1,12,6 states,8 symbols,69,3,3,32,0.0131,6,5,630,6298,SAT,0.1648,48,48,31,38,10,17,0.76,0.65,0.79,0.7,0.7,0.7,0.4125,50.0,0.0,,6,5,630,6298,SAT,0.3038,48,48,38,40,8,10,0.83,0.79,0.83,0.80,0.80,0.80,0.4125
