File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_0_400,1185,0,400,6 states,8 symbols,3764,9,0,1655,8,0,4,0,261.0998,7,6,12180,204203,SAT,3.1374,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,0.0,,7,6,12180,204203,SAT,3.9024,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_1_1,8014,1,1,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1096,5,4,445,3839,SAT,0.0932,44,44,34,34,10,10,0.77,0.77,0.77,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0977,44,44,39,34,10,5,0.80,0.89,0.77,0.80,0.80,0.80,0.46875
coffeemachine_7_25,8829,7,25,6 states,8 symbols,212,5,1,80,8,4,3,0,0.249,6,5,918,10522,SAT,0.2116,100,100,18,99,1,82,0.95,0.18,0.99,0.3,0.6,0.6,0.4125,83.33,66.67,,6,5,918,10522,SAT,0.2534,100,100,42,97,3,58,0.93,0.42,0.97,0.60,0.70,0.70,0.4125
coffeemachine_6_50,9998,6,50,6 states,8 symbols,487,5,1,217,8,10,4,0,0.8951,8,7,2512,41753,SAT,0.6468,200,200,84,200,0,116,1.0,0.42,1.0,0.6,0.7,0.7,0.6577380952380952,83.33,166.67,,8,7,2512,41753,SAT,1.0705,200,200,84,200,0,116,1.00,0.42,1.00,0.60,0.70,0.70,0.5416666666666667
coffeemachine_6_400,6913,6,400,6 states,8 symbols,3748,9,0,1757,8,0,4,0,353.9555,7,6,12894,216443,SAT,3.8034,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,12894,216443,SAT,4.3458,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_5_200,2212,5,200,6 states,8 symbols,1912,9,0,913,8,4,4,0,76.2882,7,6,6986,115163,SAT,1.1434,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,44.44,,7,6,6986,115163,SAT,1.6457,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_0_6,3681,0,6,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1194,5,4,445,3839,SAT,0.0823,44,44,37,38,6,7,0.86,0.84,0.86,0.9,0.9,0.9,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0916,44,44,42,38,6,2,0.88,0.95,0.86,0.90,0.90,0.90,0.46875
coffeemachine_8_200,1306,8,200,6 states,8 symbols,1981,8,1,793,8,20,4,0,81.4996,7,6,6146,100763,SAT,1.5298,800,800,748,800,0,52,1.0,0.94,1.0,1.0,1.0,1.0,0.9166666666666666,88.89,222.22,,7,6,6146,100763,SAT,1.4324,800,800,764,800,0,36,1.00,0.95,1.00,1.00,1.00,1.00,0.9166666666666666
coffeemachine_8_3,5553,8,3,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1113,5,4,445,3839,SAT,0.0781,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0940,44,44,37,34,10,7,0.79,0.84,0.77,0.80,0.80,0.80,0.46875
coffeemachine_8_1,5553,8,1,6 states,8 symbols,58,4,2,28,8,26,3,0,0.113,5,4,445,3839,SAT,0.0795,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0881,44,44,37,34,10,7,0.79,0.84,0.77,0.80,0.80,0.80,0.46875
coffeemachine_9_400,6919,9,400,6 states,8 symbols,3717,9,0,1648,8,0,4,0,183.3556,7,6,12131,203363,SAT,1.2604,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,12131,203363,SAT,4.0640,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_3_12,5795,3,12,6 states,8 symbols,71,5,2,33,8,47,3,0,0.1101,5,4,470,4194,SAT,0.0791,48,48,41,45,3,7,0.93,0.85,0.94,0.9,0.9,0.9,0.46875,71.43,671.43,,5,4,470,4194,SAT,0.1091,48,48,44,40,8,4,0.85,0.92,0.83,0.90,0.90,0.90,0.46875
coffeemachine_5_3,6578,5,3,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1154,5,4,445,3839,SAT,0.0791,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.1020,44,44,36,40,4,8,0.90,0.82,0.91,0.90,0.90,0.90,0.46875
coffeemachine_9_25,2925,9,25,6 states,8 symbols,219,6,2,97,8,11,3,0,0.2943,6,5,1020,12162,SAT,0.1611,100,100,65,98,2,35,0.97,0.65,0.98,0.8,0.8,0.8,0.6875,75.0,137.5,,6,5,1020,12162,SAT,0.2251,100,100,75,97,3,25,0.96,0.75,0.97,0.80,0.90,0.90,0.6875
coffeemachine_9_200,6919,9,200,6 states,8 symbols,1919,9,0,827,8,0,4,0,77.3561,7,6,6384,104843,SAT,2.1373,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,6384,104843,SAT,1.6152,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_9_12,2925,9,12,6 states,8 symbols,73,7,2,35,8,41,3,0,0.1472,6,5,648,6778,SAT,0.1584,48,48,34,46,2,14,0.94,0.71,0.96,0.8,0.8,0.8,0.5958333333333333,77.78,455.56,,6,5,648,6778,SAT,0.1888,48,48,40,43,5,8,0.89,0.83,0.90,0.90,0.90,0.90,0.5958333333333333
coffeemachine_6_25,9998,6,25,6 states,8 symbols,228,6,1,82,8,0,4,0,0.2486,6,5,930,10770,SAT,0.1893,100,100,19,99,1,81,0.95,0.19,0.99,0.3,0.6,0.6,0.5958333333333333,85.71,0.0,,6,5,930,10770,SAT,0.2533,100,100,59,98,2,41,0.97,0.59,0.98,0.70,0.80,0.80,0.6805555555555556
coffeemachine_5_0,6578,5,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1073,5,4,445,3839,SAT,0.0785,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0932,44,44,36,40,4,8,0.90,0.82,0.91,0.90,0.90,0.90,0.46875
coffeemachine_2_1,5315,2,1,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1041,5,4,445,3839,SAT,0.0763,44,44,40,34,10,4,0.8,0.91,0.77,0.9,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0782,44,44,43,35,9,1,0.83,0.98,0.80,0.90,0.90,0.90,0.46875
