File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
Random1_5_1,6644,5,1,7 states,6 symbols,57,3,6,24,0.0231,7,6,469,5789,SAT,0.2041,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2794,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_3_1,9917,3,1,7 states,6 symbols,57,3,6,24,0.0229,7,6,469,5789,SAT,0.1984,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2649,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_4_1,7794,4,1,7 states,6 symbols,57,3,6,24,0.0225,7,6,469,5789,SAT,0.5024,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2945,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_5_25,6644,5,25,7 states,6 symbols,271,7,0,129,0.2911,8,7,1424,24170,SAT,0.3394,100,100,100,91,9,0,0.92,1.0,0.91,1.0,1.0,1.0,0.8571428571428571,100.0,0.0,0.8571428571428571,,8,7,1424,24170,SAT,0.5351,100,100,100,89,11,0,0.90,1.00,0.89,0.90,0.90,0.90
Random1_1_100,1842,1,100,7 states,6 symbols,1122,8,0,543,12.237,8,7,4736,89296,SAT,1.0077,400,400,331,400,0,69,1.0,0.83,1.0,0.9,0.9,0.9,,100.0,0.0,0.9523809523809523,,,,,,,,,,,,,,,,,,,
Random1_0_12,8580,0,12,7 states,6 symbols,96,4,1,43,0.0321,7,6,602,7677,SAT,0.2312,48,48,0,48,0,48,0.0,0.0,0.0,0.0,0.5,0.0,0.4126984126984127,80.0,0.0,0.4126984126984127,,7,6,602,7677,SAT,0.2979,48,48,1,48,0,47,1.00,0.02,1.00,0.00,0.50,0.50
Random1_1_12,9563,1,12,7 states,6 symbols,90,4,7,40,0.0616,10,9,1010,17937,SAT,2.5304,48,48,0,47,1,48,0.0,0.0,0.98,0.0,0.5,0.5,0.2962962962962963,36.36,0.0,0.25396825396825395,,10,9,1010,17937,SAT,4.2902,48,48,1,47,1,47,0.50,0.02,0.98,0.00,0.50,0.50
Random1_1_25,9563,1,25,7 states,6 symbols,249,10,3,122,0.575,13,12,2613,68239,SAT,78.9666,100,100,4,99,1,96,0.8,0.04,0.99,0.1,0.5,0.5,0.4952380952380952,76.92,0.0,0.5277777777777778,,13,12,2613,68239,SAT,115.1132,100,100,13,93,7,87,0.65,0.13,0.93,0.20,0.50,0.50
Random1_3_6,9917,3,6,7 states,6 symbols,57,3,6,24,0.0223,7,6,469,5789,SAT,0.203,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2371,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_0_1,8580,0,1,7 states,6 symbols,57,3,6,24,0.0221,7,6,469,5789,SAT,0.195,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2578,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
