File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
Random4_9_300,7153,9,300,9 states,8 symbols,4555,22,5,9,8,8,0,0,96.0267,1200,1200,1044,1196,4,156,1.00,0.87,1.00,0.90,0.90,0.90,0.8452380952380952,81.48,29.63
Random4_7_1200,4120,7,1200,9 states,8 symbols,17412,24,8,11,8,39,0,0,1551.5677,4800,4800,4238,4786,14,562,1.00,0.88,1.00,0.90,0.90,0.90,0.7738095238095238,75.00,121.88
Random4_4_18,9328,4,18,9 states,8 symbols,151,17,24,20,8,980,0,0,1.0977,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_9_37,7153,9,37,9 states,8 symbols,459,19,7,11,8,86,0,0,1.3170,148,148,68,145,3,80,0.96,0.46,0.98,0.60,0.70,0.70,0.6666666666666666,73.08,330.77
Random4_3_0,6744,3,0,9 states,8 symbols,151,17,24,20,8,980,0,0,0.8258,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_9_18,7153,9,18,9 states,8 symbols,151,17,24,20,8,980,0,0,0.8120,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_8_75,5435,8,75,9 states,8 symbols,1083,19,6,10,8,48,0,0,5.8756,300,300,105,296,4,195,0.96,0.35,0.99,0.50,0.70,0.70,0.7434640522875817,76.00,192.00
Random4_4_0,9328,4,0,9 states,8 symbols,151,17,24,20,8,980,0,0,1.0916,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_1_75,7021,1,75,9 states,8 symbols,1056,19,6,10,8,63,0,0,4.6868,300,300,275,300,0,25,1.00,0.92,1.00,1.00,1.00,1.00,0.7720588235294117,76.00,252.00
Random4_3_600,6744,3,600,9 states,8 symbols,8966,26,8,12,8,90,0,0,381.5417,2400,2400,2175,2392,8,225,1.00,0.91,1.00,0.90,1.00,1.00,0.775,76.47,264.71
Random4_2_0,8584,2,0,9 states,8 symbols,151,17,24,20,8,980,0,0,0.7810,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_3_150,6744,3,150,9 states,8 symbols,2247,26,7,13,8,161,0,0,23.3227,600,600,198,588,12,402,0.94,0.33,0.98,0.50,0.70,0.70,0.6499999999999999,78.79,487.88
Random4_0_0,3627,0,0,9 states,8 symbols,151,17,24,20,8,980,0,0,0.7931,76,76,1,76,0,75,1.00,0.01,1.00,0.00,0.50,0.50,0.28888888888888886,41.46,2390.24
Random4_4_150,9328,4,150,9 states,8 symbols,2241,19,6,10,8,28,0,0,21.5260,600,600,561,598,2,39,1.00,0.94,1.00,1.00,1.00,1.00,0.7720588235294117,76.00,112.00
Random4_9_150,7153,9,150,9 states,8 symbols,2273,22,6,11,8,63,0,0,26.7313,600,600,549,599,1,51,1.00,0.92,1.00,1.00,1.00,1.00,0.7573099415204678,78.57,225.00
Random4_6_150,6670,6,150,9 states,8 symbols,2259,24,5,12,8,85,0,0,23.1217,600,600,544,600,0,56,1.00,0.91,1.00,1.00,1.00,1.00,0.8180555555555555,82.76,293.10
Random4_9_0,7153,9,0,9 states,8 symbols,151,17,24,20,8,980,0,0,0.8220,76,76,0,76,0,76,0.00,0.00,0.00,0.00,0.50,0.00,0.28888888888888886,41.46,2390.24
Random4_8_0,5435,8,0,9 states,8 symbols,151,17,24,20,8,980,0,0,0.7984,76,76,1,76,0,75,1.00,0.01,1.00,0.00,0.50,0.50,0.28888888888888886,41.46,2390.24
Random4_9_75,7153,9,75,9 states,8 symbols,1078,20,6,10,8,73,0,0,4.7269,300,300,30,297,3,270,0.91,0.10,0.99,0.20,0.50,0.50,0.6761904761904762,76.92,280.77
Random4_4_300,9328,4,300,9 states,8 symbols,4521,21,5,10,8,38,0,0,89.7332,1200,1200,1102,1198,2,98,1.00,0.92,1.00,1.00,1.00,1.00,0.817063492063492,80.77,146.15
