File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random2_4_9,8332,4,9,12 states,12 symbols,274,13,14,129,1.094,17,16,5678,169972,SAT,1217.073,96,96,1,96,0,95,1.0,0.01,1.0,0.0,0.5,0.5,0.240255376344086,48.15,0.0,,17,16,5678,169972,SAT,1479.6411,96,96,8,95,1,88,0.89,0.08,0.99,0.20,0.50,0.50,0.3326612903225806
Random2_3_75,9989,3,75,12 states,12 symbols,1400,12,0,674,6.5845,13,12,10803,313385,SAT,624.2165,300,300,130,289,11,170,0.92,0.43,0.96,0.6,0.7,0.7,0.8125,100.0,0.0,,13,12,10803,313385,SAT,671.1223,300,300,243,298,2,57,0.99,0.81,0.99,0.90,0.90,0.90,0.8958333333333334
Random2_3_600,9338,3,600,12 states,12 symbols,12433,13,0,6066,1510.3675,13,12,80899,2562187,SAT,948.394,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,
Random2_6_600,1612,6,600,12 states,12 symbols,12389,14,0,5840,1972.3416,13,12,77961,2468283,SAT,989.015,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,
Random2_9_150,3485,9,150,12 states,12 symbols,3020,14,0,1481,28.8517,13,12,21294,650580,SAT,660.88,600,600,600,600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,13,12,21294,650580,SAT,713.5824,600,600,600,600,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random2_7_37,216,7,37,12 states,12 symbols,562,12,4,253,1.7411,13,12,5330,139180,SAT,91.8065,148,148,1,148,0,147,1.0,0.01,1.0,0.0,0.5,0.5,0.5625,75.0,0.0,,13,12,5330,139180,SAT,221.3833,148,148,12,144,4,136,0.75,0.08,0.97,0.10,0.50,0.50,0.5625
Random2_8_600,893,8,600,12 states,12 symbols,12434,14,0,5428,1991.3549,13,12,72605,2296479,SAT,968.3181,2400,2400,1814,2383,17,586,0.99,0.76,0.99,0.9,0.9,0.9,0.9791666666666666,100.0,0.0,,,,,,,,,,,,,,,,,,,,
Random2_0_600,8965,0,600,12 states,12 symbols,12424,13,0,6115,1662.4144,13,12,81536,2582620,SAT,974.3868,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,
Random2_4_150,8332,4,150,12 states,12 symbols,3030,13,0,1481,22.1358,13,12,21294,650242,SAT,644.1059,600,600,273,595,5,327,0.98,0.46,0.99,0.6,0.7,0.7,0.8958333333333334,100.0,0.0,,13,12,21294,650242,SAT,704.9262,600,600,382,597,3,218,0.99,0.64,0.99,0.80,0.80,0.80,0.8958333333333334
Random2_0_300,9327,0,300,12 states,12 symbols,6257,13,0,2828,139.0879,13,12,38805,1211941,SAT,675.4172,1200,1200,524,1197,3,676,0.99,0.44,1.0,0.6,0.7,0.7,0.9791666666666666,100.0,0.0,,13,12,38805,1211941,SAT,838.4090,1200,1200,746,1183,17,454,0.98,0.62,0.99,0.80,0.80,0.80,0.9791666666666666
Random2_4_75,8332,4,75,12 states,12 symbols,1416,15,1,653,7.1916,13,12,10530,305980,SAT,450.0787,300,300,45,296,4,255,0.92,0.15,0.99,0.3,0.6,0.6,0.7291666666666666,93.75,0.0,,13,12,10530,305980,SAT,579.4762,300,300,86,287,13,214,0.87,0.29,0.96,0.40,0.60,0.60,0.7291666666666666
Random2_3_300,9989,3,300,12 states,12 symbols,6157,14,0,2751,168.472,13,12,37804,1180170,SAT,698.0966,1200,1200,670,1190,10,530,0.99,0.56,0.99,0.7,0.8,0.8,0.9791666666666666,100.0,0.0,,13,12,37804,1180170,SAT,767.8559,1200,1200,893,1184,16,307,0.98,0.74,0.99,0.80,0.90,0.90,0.9583333333333334
Random2_4_600,247,4,600,12 states,12 symbols,12381,13,0,5571,1591.4215,13,12,74464,2355772,SAT,978.8143,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,
Random2_9_9,3485,9,9,12 states,12 symbols,274,13,14,129,1.0618,17,16,5678,169972,SAT,1227.052,96,96,2,96,0,94,1.0,0.02,1.0,0.0,0.5,0.5,0.240255376344086,48.15,0.0,,17,16,5678,169972,SAT,1503.3463,96,96,8,95,1,88,0.89,0.08,0.99,0.20,0.50,0.50,0.3326612903225806
Random2_8_37,7526,8,37,12 states,12 symbols,570,16,2,261,1.9691,13,12,5434,143192,SAT,206.7611,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.6105939716312057,88.89,0.0,,13,12,5434,143192,SAT,402.1042,148,148,10,147,1,138,0.91,0.07,0.99,0.10,0.50,0.50,0.625
Random2_1_37,2970,1,37,12 states,12 symbols,563,10,5,279,1.2377,13,12,5668,149684,SAT,333.4446,148,148,1,148,0,147,1.0,0.01,1.0,0.0,0.5,0.5,0.4791666666666667,66.67,0.0,,13,12,5668,149684,SAT,361.7568,148,148,17,146,2,131,0.89,0.11,0.99,0.20,0.60,0.60,0.4791666666666667
Random2_8_300,7526,8,300,12 states,12 symbols,6209,13,0,2886,128.1114,13,12,39559,1236127,SAT,728.7269,1200,1200,1200,1194,6,0,1.0,1.0,0.99,1.0,1.0,1.0,0.9791666666666666,100.0,0.0,,13,12,39559,1236127,SAT,843.6599,1200,1200,1200,1189,11,0,0.99,1.00,0.99,1.00,1.00,1.00,0.9791666666666666
Random2_8_9,7526,8,9,12 states,12 symbols,274,13,14,129,1.0726,17,16,5678,169972,SAT,1438.802,96,96,1,96,0,95,1.0,0.01,1.0,0.0,0.5,0.5,0.3908811475409836,48.15,0.0,,17,16,5678,169972,SAT,1501.4887,96,96,7,92,4,89,0.64,0.07,0.96,0.10,0.50,0.50,0.3326612903225806
Random2_6_37,1871,6,37,12 states,12 symbols,572,16,7,236,3.5586,12,11,4572,112780,SAT,41.2614,148,148,1,148,0,147,1.0,0.01,1.0,0.0,0.5,0.5,0.6316287878787878,69.57,0.0,,12,11,4572,112780,SAT,223.0645,148,148,8,146,2,140,0.80,0.05,0.99,0.10,0.50,0.50,0.6316287878787878
Random2_6_300,1871,6,300,12 states,12 symbols,6249,11,0,3107,122.3116,13,12,42432,1327608,SAT,743.96,1200,1200,1200,1200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9895833333333331,100.0,0.0,,13,12,42432,1327608,SAT,905.5131,1200,1200,1200,1200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9895833333333333
Random2_3_18,9989,3,18,12 states,12 symbols,274,13,14,129,1.0753,17,16,5678,169972,SAT,1283.8126,96,96,0,96,0,96,0.0,0.0,0.0,0.0,0.5,0.0,0.3326612903225806,48.15,0.0,,17,16,5678,169972,SAT,1518.7968,96,96,4,94,2,92,0.67,0.04,0.98,0.10,0.50,0.50,0.3326612903225806
Random2_1_300,2970,1,300,12 states,12 symbols,6208,13,0,2797,128.0531,13,12,38402,1199014,SAT,680.2214,1200,1200,1200,1178,22,0,0.98,1.0,0.98,1.0,1.0,1.0,0.9791666666666666,100.0,0.0,,13,12,38402,1199014,SAT,870.1378,1200,1200,742,1177,23,458,0.97,0.62,0.98,0.80,0.80,0.80,0.9583333333333334
Random2_6_0,1871,6,0,12 states,12 symbols,274,13,14,129,1.0915,17,16,5678,169972,SAT,1210.8375,96,96,0,96,0,96,0.0,0.0,0.0,0.0,0.5,0.0,0.240255376344086,48.15,0.0,,17,16,5678,169972,SAT,1485.8886,96,96,8,93,3,88,0.73,0.08,0.97,0.10,0.50,0.50,0.3326612903225806
Random2_2_150,8690,2,150,12 states,12 symbols,3018,13,0,1500,28.2043,13,12,21541,658165,SAT,480.8606,600,600,600,597,3,0,1.0,1.0,0.99,1.0,1.0,1.0,0.9791666666666666,100.0,0.0,,13,12,21541,658165,SAT,734.0219,600,600,600,600,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random2_6_18,1871,6,18,12 states,12 symbols,274,13,14,129,1.0819,17,16,5678,169972,SAT,1328.3973,96,96,0,96,0,96,0.0,0.0,0.0,0.0,0.5,0.0,0.3326612903225806,48.15,0.0,,17,16,5678,169972,SAT,1524.3191,96,96,8,93,3,88,0.73,0.08,0.97,0.10,0.50,0.50,0.3326612903225806
Random2_5_0,8737,5,0,12 states,12 symbols,274,13,14,129,1.072,17,16,5678,169972,SAT,1248.2571,96,96,0,96,0,96,0.0,0.0,0.0,0.0,0.5,0.0,0.3326612903225806,48.15,0.0,,17,16,5678,169972,SAT,1525.5480,96,96,10,92,4,86,0.71,0.10,0.96,0.20,0.50,0.50,0.3326612903225806
Random2_8_0,7526,8,0,12 states,12 symbols,274,13,14,129,1.1278,17,16,5678,169972,SAT,1421.7473,96,96,1,96,0,95,1.0,0.01,1.0,0.0,0.5,0.5,0.3908811475409836,48.15,0.0,,17,16,5678,169972,SAT,1499.5205,96,96,7,92,4,89,0.64,0.07,0.96,0.10,0.50,0.50,0.3326612903225806
Random2_1_9,2970,1,9,12 states,12 symbols,274,13,14,129,1.0637,17,16,5678,169972,SAT,1377.5045,96,96,0,96,0,96,0.0,0.0,0.0,0.0,0.5,0.0,0.3908811475409836,48.15,0.0,,17,16,5678,169972,SAT,1497.3272,96,96,13,92,4,83,0.76,0.14,0.96,0.20,0.50,0.50,0.3326612903225806
Random2_1_75,2970,1,75,12 states,12 symbols,1402,13,0,696,5.1952,13,12,11089,322897,SAT,398.8999,300,300,108,295,5,192,0.96,0.36,0.98,0.5,0.7,0.7,0.9166666666666666,100.0,0.0,,13,12,11089,322897,SAT,473.2711,300,300,174,290,10,126,0.95,0.58,0.97,0.70,0.80,0.80,0.9166666666666666
Random2_1_600,1240,1,600,12 states,12 symbols,12444,13,0,5752,1621.2264,13,12,76817,2431249,SAT,972.9238,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,
Random2_5_75,8737,5,75,12 states,12 symbols,1405,17,1,644,14.2048,14,13,11382,353874,SAT,703.9133,300,300,35,297,3,265,0.92,0.12,0.99,0.2,0.6,0.6,0.7411858974358975,94.44,0.0,,14,13,11382,353874,SAT,835.1653,300,300,70,288,12,230,0.85,0.23,0.96,0.40,0.60,0.60,0.7011217948717949
Random2_8_150,7526,8,150,12 states,12 symbols,3020,12,0,1474,26.4257,13,12,21203,646985,SAT,672.9969,600,600,126,598,2,474,0.98,0.21,1.0,0.3,0.6,0.6,0.9166666666666666,100.0,0.0,,13,12,21203,646985,SAT,725.3374,600,600,253,593,7,347,0.97,0.42,0.99,0.60,0.70,0.70,0.9166666666666666
Random2_8_18,7526,8,18,12 states,12 symbols,274,13,14,129,1.0856,17,16,5678,169972,SAT,1208.089,96,96,1,96,0,95,1.0,0.01,1.0,0.0,0.5,0.5,0.240255376344086,48.15,0.0,,17,16,5678,169972,SAT,1518.5074,96,96,7,92,4,89,0.64,0.07,0.96,0.10,0.50,0.50,0.3326612903225806
Random2_0_9,9327,0,9,12 states,12 symbols,274,13,14,129,1.0923,17,16,5678,169972,SAT,1291.9248,96,96,1,96,0,95,1.0,0.01,1.0,0.0,0.5,0.5,0.240255376344086,48.15,0.0,,17,16,5678,169972,SAT,1494.9404,96,96,6,92,4,90,0.60,0.06,0.96,0.10,0.50,0.50,0.3326612903225806
