File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
bluetooth_7_37,8095,7,37,15 states,15 symbols,900,28,73,450,15,5429,20,0,75.3816,26,25,63778,2714323,SAT,4184.3321,148.0,148.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0914285714285714,27.72,5375.25,,26,25,63778,2714323,SAT,4153.8305,148,148,7,148,0,141,1.00,0.05,1.00,0.10,0.50,0.50,0.22142857142857142
bluetooth_9_4,2581,9,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4581,13,12,14469,345839,SAT,617.9832,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1392857142857143,18.92,3902.7,,13,12,14469,345839,SAT,619.9509,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_2_37,8134,2,37,15 states,15 symbols,891,13,88,444,15,4977,26,0,62.6639,26,25,63622,2704255,SAT,4131.5509,148.0,148.0,3.0,148.0,0.0,145.0,1.0,0.02,1.0,0.0,0.5,0.5,0.1828571428571428,12.87,4927.72,,26,25,63622,2704255,SAT,4116.6994,148,148,4,147,1,144,0.80,0.03,0.99,0.10,0.50,0.50,0.16
bluetooth_4_300,9370,4,300,15 states,15 symbols,8415,73,1,3775,15,430,61,0,4338.3622,17,16,86445,3321335,SAT,1786.3215,1200.0,1200.0,1177.0,1200.0,0.0,23.0,1.0,0.98,1.0,1.0,1.0,1.0,0.950297619047619,98.65,581.08,,17,16,86445,3321335,SAT,1810.9981,1200,1200,1176,1200,0,24,1.00,0.98,1.00,1.00,1.00,1.00,0.950297619047619
bluetooth_3_150,7492,3,150,15 states,15 symbols,4169,77,97,2083,15,6735,54,0,6479.1834,30,28,125193,7105597,TIMEOUT,5504.9164,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,44.25,3870.69,,30,28,125193,7105597,TIMEOUT,5517.9483,,,,,,,,,,,,,
bluetooth_3_75,7492,3,75,15 states,15 symbols,2022,53,89,1005,15,6707,42,0,910.1536,30,28,93931,4799831,TIMEOUT,5484.047,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,37.32,4723.24,,30,28,93931,4799831,TIMEOUT,5435.1575,,,,,,,,,,,,,
bluetooth_8_1200,3136,8,1200,15 states,15 symbols,33466,80,0,16231,15,6,62,0,132285.5468,16,15,279424,10808824,SAT,1664.1525,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,7.5,,16,15,279424,10808824,SAT,1654.3889,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
bluetooth_3_0,7492,3,0,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.3982,13,12,14469,345839,SAT,619.6062,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1421516754850088,18.92,3902.7,,13,12,14469,345839,SAT,620.2394,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_1_4,4955,1,4,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.5944,13,12,14469,345839,SAT,630.0472,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1294320137693631,18.92,3902.7,,13,12,14469,345839,SAT,620.5257,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,0.15
bluetooth_8_0,7258,8,0,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.6162,13,12,14469,345839,SAT,630.4162,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1294320137693631,18.92,3902.7,,13,12,14469,345839,SAT,620.2442,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_9_300,509,9,300,15 states,15 symbols,8431,86,15,4123,15,806,61,0,9733.0062,25,24,151225,8158141,SAT,4286.037,1200.0,1200.0,935.0,1200.0,0.0,265.0,1.0,0.78,1.0,0.9,0.9,0.9,0.7660714285714285,85.15,798.02,,25,24,151225,8158141,SAT,4259.8755,1200,1200,1088,1199,1,112,1.00,0.91,1.00,1.00,1.00,1.00,0.767835757057314
bluetooth_5_300,8512,5,300,15 states,15 symbols,8403,78,4,3758,15,925,62,0,5904.2317,21,20,112896,5199424,SAT,3110.1731,1200.0,1200.0,1107.0,1200.0,0.0,93.0,1.0,0.92,1.0,1.0,1.0,1.0,0.8416666666666667,95.12,1128.05,,21,20,112896,5199424,SAT,2977.7825,1200,1200,1130,1200,0,70,1.00,0.94,1.00,1.00,1.00,1.00,0.8416666666666667
bluetooth_3_37,7492,3,37,15 states,15 symbols,905,26,78,451,15,5987,25,0,76.3503,28,27,73024,3275590,SAT,4684.7938,148.0,148.0,0.0,148.0,0.0,148.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1555555555555555,25.0,5756.73,,28,27,73024,3275590,SAT,4682.4698,148,148,1,148,0,147,1.00,0.01,1.00,0.00,0.50,0.50,0.14842958459979735
bluetooth_6_1200,7297,6,1200,15 states,15 symbols,33475,63,0,15042,15,1,62,0,100439.2367,16,15,260400,10047483,SAT,1668.4688,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.59,,16,15,260400,10047483,SAT,1744.8347,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
bluetooth_1_37,4955,1,37,15 states,15 symbols,904,31,63,452,15,4095,23,0,60.2803,26,25,63830,2708215,SAT,4316.4273,148.0,148.0,4.0,148.0,0.0,144.0,1.0,0.03,1.0,0.1,0.5,0.5,0.1066666666666666,32.98,4356.38,,25,24,59450,2455670,SAT,3979.9598,148,148,6,148,0,142,1.00,0.04,1.00,0.10,0.50,0.50,0.06190476190476191
bluetooth_1_9,4955,1,9,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.5889,13,12,14469,345839,SAT,628.2849,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1607142857142857,18.92,3902.7,,13,12,14469,345839,SAT,625.5084,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,0.15
bluetooth_8_150,7258,8,150,15 states,15 symbols,4159,83,70,2076,15,2061,53,0,5043.9243,30,28,124990,7055652,TIMEOUT,5495.3106,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,54.25,1347.06,,30,28,124990,7055652,TIMEOUT,5451.2796,,,,,,,,,,,,,
bluetooth_8_9,7258,8,9,15 states,15 symbols,223,7,30,111,15,1444,9,0,1.4325,13,12,14469,345839,SAT,618.4264,56.0,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1392857142857143,18.92,3902.7,,13,12,14469,345839,SAT,620.2563,56,56,1,56,0,55,1.00,0.02,1.00,0.00,0.50,0.50,0.15
bluetooth_6_75,5064,6,75,15 states,15 symbols,2018,50,118,1003,15,8169,41,0,790.268,30,28,93873,4839385,TIMEOUT,5411.3735,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,29.76,4862.5,,30,28,93873,4839385,TIMEOUT,5370.6132,,,,,,,,,,,,,
bluetooth_6_600,7297,6,600,15 states,15 symbols,16867,58,1,8295,15,71,62,0,15315.3955,17,16,163285,6544465,SAT,2056.4757,2400.0,2400.0,2362.0,2400.0,0.0,38.0,1.0,0.98,1.0,1.0,1.0,1.0,0.950297619047619,98.31,120.34,,17,16,163285,6544465,SAT,1948.9857,2400,2400,2355,2400,0,45,1.00,0.98,1.00,1.00,1.00,1.00,0.950297619047619
bluetooth_3_1200,7645,3,1200,15 states,15 symbols,33475,73,0,16730,15,0,62,0,109035.7001,16,15,287408,11121107,SAT,1776.7425,4800.0,4800.0,4800.0,4800.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,16,15,287408,11121107,SAT,1685.4931,4800,4800,4800,4800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
bluetooth_2_300,9112,2,300,15 states,15 symbols,8426,89,20,3973,15,1257,60,0,10912.6061,29,28,180003,10944477,SAT,5575.6197,1200.0,1200.0,740.0,1199.0,1.0,460.0,1.0,0.62,1.0,0.8,0.8,0.8,0.6666666666666667,81.65,1153.21,,29,28,180003,10944477,SAT,5733.8902,1200,1200,911,1195,5,289,0.99,0.76,1.00,0.90,0.90,0.90,0.6801020408163265
bluetooth_8_300,3136,8,300,15 states,15 symbols,8428,83,16,4189,15,855,62,0,8727.8827,30,28,186267,11378881,TIMEOUT,5814.5199,,,,,,,,-1.0,-1.0,-1.0,,-1.0,-1.0,83.84,863.64,,30,28,186267,11378881,TIMEOUT,5744.4608,,,,,,,,,,,,,
