File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random1_5_50,6644,5,50,7 states,6 symbols,563,8,0,226,6,22,0,0,1.6788,8,7,2200,39527,SAT,0.4828,200,200,200,195,5,0,0.98,1.0,0.97,1.0,1.0,1.0,0.9523809523809524,100.0,275.0,,8,7,2200,39527,SAT,0.8736,200,200,200,196,4,0,0.98,1.00,0.98,1.00,1.00,1.00,0.9523809523809523
Random1_1_1,9563,1,1,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0941,7,6,455,5647,SAT,0.1727,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.3101,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_6_0,4424,6,0,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0897,7,6,455,5647,SAT,0.1671,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.3732,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_4_12,7794,4,12,7 states,6 symbols,93,4,8,41,6,99,0,0,0.1753,7,6,588,8123,SAT,0.2168,48,48,0,48,0,48,0.0,0.0,0.0,0.0,0.5,0.0,0.5674603174603174,33.33,825.0,,7,6,588,8123,SAT,0.3289,48,48,2,48,0,46,1.00,0.04,1.00,0.10,0.50,0.50,0.5674603174603174
Random1_8_100,3548,8,100,7 states,6 symbols,1079,8,0,467,6,8,0,0,9.8903,8,7,4128,77364,SAT,0.8928,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,100.0,,,,,,,,,,,,,,,,,,,,1.0
Random1_2_3,1249,2,3,7 states,6 symbols,57,3,7,22,6,73,0,0,0.1005,7,6,455,5647,SAT,0.1751,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.3490,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.5158730158730158
Random1_0_6,8580,0,6,7 states,6 symbols,57,3,7,22,6,73,0,0,0.1015,7,6,455,5647,SAT,0.1832,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2450,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_3_50,9917,3,50,7 states,6 symbols,546,9,0,271,6,15,0,0,1.546,8,7,2560,46720,SAT,0.5685,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,166.67,,8,7,2560,46720,SAT,0.8860,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random1_1_12,9563,1,12,7 states,6 symbols,90,4,4,39,6,73,0,0,0.1232,8,7,704,10168,SAT,0.305,48,48,0,48,0,48,0.0,0.0,0.0,0.0,0.5,0.0,0.4285714285714285,50.0,912.5,,8,7,704,10168,SAT,0.4152,48,48,2,48,0,46,1.00,0.04,1.00,0.10,0.50,0.50,0.42857142857142855
Random1_1_3,9563,1,3,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0938,7,6,455,5647,SAT,0.171,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.1981,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
