File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
coffeemachine_3_1,5795,3,1,6 states,8 symbols,58,13,3,8,8,154,3,0,0.132,44,44,18,44,0,26,1.0,0.41,1.0,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,23,42,2,21,0.92,0.52,0.95,0.70,0.70,0.70
coffeemachine_6_0,9998,6,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1242,44,44,23,39,5,21,0.82,0.52,0.89,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,31,39,5,13,0.86,0.70,0.89,0.80,0.80,0.80
coffeemachine_0_6,3681,0,6,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1455,44,44,23,40,4,21,0.85,0.52,0.91,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,29,41,3,15,0.91,0.66,0.93,0.80,0.80,0.80
coffeemachine_0_0,3681,0,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1523,44,44,23,40,4,21,0.85,0.52,0.91,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,29,41,3,15,0.91,0.66,0.93,0.80,0.80,0.80
coffeemachine_0_3,3681,0,3,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1335,44,44,23,40,4,21,0.85,0.52,0.91,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,29,41,3,15,0.91,0.66,0.93,0.80,0.80,0.80
coffeemachine_1_25,8014,1,25,6 states,8 symbols,214,13,2,5,8,29,4,0,0.3341,100,100,50,100,0,50,1.0,0.5,1.0,0.7,0.8,0.8,0.8015350877192983,86.67,193.33,100,100,75,100,0,25,1.00,0.75,1.00,0.90,0.90,0.90
coffeemachine_1_12,8014,1,12,6 states,8 symbols,69,13,3,8,8,153,3,0,0.1329,48,48,14,41,7,34,0.67,0.29,0.85,0.4,0.6,0.6,0.2980072463768116,81.25,956.25,48,48,28,41,7,20,0.80,0.58,0.85,0.70,0.70,0.70
coffeemachine_7_100,6434,7,100,6 states,8 symbols,1004,18,1,6,8,13,4,0,23.8084,400,400,387,400,0,13,1.0,0.97,1.0,1.0,1.0,1.0,0.9583333333333334,94.74,68.42,400,400,389,400,0,11,1.00,0.97,1.00,1.00,1.00,1.00
coffeemachine_8_6,5553,8,6,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1261,44,44,17,41,3,27,0.85,0.39,0.93,0.5,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,27,39,5,17,0.84,0.61,0.89,0.70,0.80,0.80
coffeemachine_3_200,1671,3,200,6 states,8 symbols,1960,19,0,6,8,10,4,0,103.3337,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,52.63,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_2_6,5315,2,6,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1467,44,44,22,39,5,22,0.81,0.5,0.89,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,30,38,6,14,0.83,0.68,0.86,0.70,0.80,0.80
coffeemachine_9_25,2925,9,25,6 states,8 symbols,219,13,2,5,8,33,3,0,0.3887,100,100,58,100,0,42,1.0,0.58,1.0,0.7,0.8,0.8,0.8015350877192983,86.67,220.0,100,100,76,100,0,24,1.00,0.76,1.00,0.90,0.90,0.90
coffeemachine_2_3,5315,2,3,6 states,8 symbols,58,13,3,8,8,154,3,0,0.148,44,44,22,39,5,22,0.81,0.5,0.89,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,30,38,6,14,0.83,0.68,0.86,0.70,0.80,0.80
coffeemachine_1_0,8014,1,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1408,44,44,13,39,5,31,0.72,0.3,0.89,0.4,0.6,0.6,0.2980072463768116,81.25,962.5,44,44,26,38,6,18,0.81,0.59,0.86,0.70,0.70,0.70
coffeemachine_1_200,8822,1,200,6 states,8 symbols,1957,19,0,6,8,57,4,0,106.9644,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,300.0,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_4_0,8307,4,0,6 states,8 symbols,58,13,3,8,8,154,3,0,0.139,44,44,21,41,3,23,0.88,0.48,0.93,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,33,40,4,11,0.89,0.75,0.91,0.80,0.80,0.80
coffeemachine_5_12,6578,5,12,6 states,8 symbols,70,11,3,6,8,90,3,0,0.1377,48,48,19,43,5,29,0.79,0.4,0.9,0.5,0.6,0.6,0.6129385964912281,78.57,642.86,48,48,28,43,5,20,0.85,0.58,0.90,0.70,0.70,0.70
