File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
openSSL_7_9,312,7,9,6 states,20 symbols,153,15,6,76,0.196,7,6,2940,40284,SAT,0.3583,112.0,112.0,112.0,63.0,49.0,0.0,0.7,1.0,0.56,0.8,0.8,0.8,0.5238095238095238,71.43,0.0,,7,6,2940,40284,SAT,0.4055,112,112,68,80,32,44,0.68,0.61,0.71,0.60,0.70,0.70,0.38095238095238093
openSSL_9_37,8768,9,37,6 states,20 symbols,255,16,7,125,0.6008,8,7,4144,63658,SAT,0.5266,148.0,148.0,54.0,128.0,20.0,94.0,0.73,0.36,0.86,0.5,0.6,0.6,0.2874149659863946,69.57,0.0,,8,7,4144,63658,SAT,0.5551,148,148,92,93,55,56,0.63,0.62,0.63,0.60,0.60,0.60,0.24319727891156462
openSSL_7_4,312,7,4,6 states,20 symbols,153,15,6,76,0.1971,7,6,2940,40284,SAT,0.389,112.0,112.0,112.0,63.0,49.0,0.0,0.7,1.0,0.56,0.8,0.8,0.8,0.5238095238095238,71.43,0.0,,7,6,2940,40284,SAT,0.5528,112,112,68,80,32,44,0.68,0.61,0.71,0.60,0.70,0.70,0.38095238095238093
openSSL_6_300,6237,6,300,6 states,20 symbols,3058,11,0,943,178.728,7,6,9009,143344,SAT,2.3206,1200.0,1200.0,595.0,1085.0,115.0,605.0,0.84,0.5,0.9,0.6,0.7,0.7,0.8571428571428571,100.0,0.0,,7,6,9009,143344,SAT,0.9618,1200,1200,1200,1200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.9523809523809523
openSSL_9_9,8768,9,9,6 states,20 symbols,153,15,6,76,0.2001,7,6,2940,40284,SAT,0.3583,112.0,112.0,45.0,92.0,20.0,67.0,0.69,0.4,0.82,0.5,0.6,0.6,0.3855981416957026,71.43,0.0,,7,6,2940,40284,SAT,0.3731,112,112,69,74,38,43,0.64,0.62,0.66,0.60,0.60,0.60,0.38095238095238093
openSSL_0_18,5989,0,18,6 states,20 symbols,153,15,6,76,0.2004,7,6,2940,40284,SAT,0.3702,112.0,112.0,112.0,58.0,54.0,0.0,0.67,1.0,0.52,0.8,0.8,0.8,0.5301974448315911,71.43,0.0,,7,6,2940,40284,SAT,0.5169,112,112,68,67,45,44,0.60,0.61,0.60,0.60,0.60,0.60,0.38095238095238093
openSSL_1_4,9292,1,4,6 states,20 symbols,153,15,6,76,0.202,7,6,2940,40284,SAT,0.3827,112.0,112.0,49.0,91.0,21.0,63.0,0.7,0.44,0.81,0.5,0.6,0.6,0.4047619047619047,71.43,0.0,,7,6,2940,40284,SAT,0.4132,112,112,74,83,29,38,0.72,0.66,0.74,0.70,0.70,0.70,0.38095238095238093
openSSL_6_2400,8807,6,2400,6 states,20 symbols,23148,11,0,6434,5324.9115,7,6,47446,802264,SAT,8.4944,9600.0,9600.0,2942.0,8751.0,849.0,6658.0,0.78,0.31,0.91,0.4,0.6,0.6,0.8193960511033682,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_0_4,5989,0,4,6 states,20 symbols,153,15,6,76,0.1988,7,6,2940,40284,SAT,0.3641,112.0,112.0,46.0,89.0,23.0,66.0,0.67,0.41,0.79,0.5,0.6,0.6,0.3809523809523809,71.43,0.0,,7,6,2940,40284,SAT,0.4023,112,112,68,67,45,44,0.60,0.61,0.60,0.60,0.60,0.60,0.38095238095238093
openSSL_6_150,9758,6,150,6 states,20 symbols,1508,10,0,681,10.6765,6,5,5856,80315,SAT,0.6166,600.0,600.0,224.0,558.0,42.0,376.0,0.84,0.37,0.93,0.5,0.7,0.7,0.7857142857142857,100.0,0.0,,6,5,5856,80315,SAT,0.6155,600,600,332,547,53,268,0.86,0.55,0.91,0.70,0.70,0.70,0.7857142857142857
openSSL_3_2400,2163,3,2400,6 states,20 symbols,23261,11,0,10745,5494.3012,6,5,66240,966019,SAT,5.9745,9600.0,9600.0,2947.0,9513.0,87.0,6653.0,0.97,0.31,0.99,0.5,0.6,0.6,0.838095238095238,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_3_9,6240,3,9,6 states,20 symbols,153,15,6,76,0.1972,7,6,2940,40284,SAT,0.361,112.0,112.0,112.0,65.0,47.0,0.0,0.7,1.0,0.58,0.8,0.8,0.8,0.5238095238095238,71.43,0.0,,7,6,2940,40284,SAT,0.3856,112,112,80,67,45,32,0.64,0.71,0.60,0.70,0.70,0.70,0.38095238095238093
openSSL_8_1200,8312,8,1200,6 states,20 symbols,12004,11,0,3448,1328.6313,6,5,22458,323883,SAT,1.5559,4800.0,4800.0,1747.0,4645.0,155.0,3053.0,0.92,0.36,0.97,0.5,0.7,0.7,0.7595238095238095,100.0,0.0,,,,,,,,,,,,,,,,,,,,
